Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
-0.0368012 0.111669 -0.0181954 
-0.0345638 0.113971 -0.0166195 
-0.02745 0.110307 -0.0187882 
-0.0251322 0.110719 -0.0192347 
-0.0262667 0.110544 -0.0190457 
-0.0302923 0.115032 -0.0157497 
-0.0313173 0.115081 -0.0157968 
-0.0292314 0.114996 -0.0157151 
-0.0323789 0.115075 -0.0157884 
-0.025101 0.114847 -0.0155729 
-0.0261604 0.114813 -0.0155316 
-0.0282448 0.11486 -0.0155715 
-0.0272212 0.114809 -0.0155223 
-0.0306198 0.11135 -0.017885 
-0.0323987 0.114036 -0.016697 
-0.0292876 0.113893 -0.0165575 
-0.0324948 0.112838 -0.0174448 
-0.0327045 0.111423 -0.0179721 
-0.0302725 0.114038 -0.0167089 
-0.0313333 0.114057 -0.0167329 
-0.0295595 0.111353 -0.0178807 
-0.0316803 0.111369 -0.0179291 
-0.0313926 0.112895 -0.0174931 
-0.0293428 0.112771 -0.0173776 
-0.0303664 0.112853 -0.0174686 
-0.0263327 0.111444 -0.0179843 
-0.0251918 0.111615 -0.0181703 
-0.0263531 0.11244 -0.0170322 
-0.0284948 0.111359 -0.0178892 
-0.0252093 0.112572 -0.0171753 
-0.0283013 0.113756 -0.016413 
-0.0262987 0.113585 -0.0162365 
-0.0273178 0.113609 -0.0162558 
-0.0251564 0.113713 -0.0163747 
-0.0273763 0.112504 -0.0170987 
-0.0283604 0.112635 -0.0172343 
-0.0274342 0.111364 -0.0178958 
-0.0228793 0.110931 -0.0194728 
-0.0217829 0.111029 -0.0195757 
-0.0240368 0.11082 -0.0193477 
-0.0206804 0.112216 -0.0188434 
-0.0239953 0.114912 -0.0156465 
-0.0217088 0.114301 -0.017023 
-0.0217098 0.115215 -0.0159934 
-0.0229012 0.115018 -0.0157633 
-0.0205151 0.114503 -0.0172551 
-0.0217663 0.11209 -0.0186927 
-0.0240109 0.113853 -0.0165323 
-0.0228318 0.114095 -0.016802 
-0.0217183 0.113234 -0.017904 
-0.0229141 0.111944 -0.0185359 
-0.0240311 0.112816 -0.0174462 
-0.0228558 0.113062 -0.0177116 
-0.0240588 0.111793 -0.0183639 
-0.0205328 0.113457 -0.0181494 
-0.0816033 0.101897 -0.00556882 
-0.0813824 0.099165 -0.00657823 
-0.0824727 0.0992304 -0.00559052 
-0.0810222 0.100509 -0.00657927 
-0.0820951 0.100566 -0.0055776 
-0.0810179 0.0964125 -0.00756981 
-0.0817276 0.0964548 -0.00656413 
-0.0825014 0.0978733 -0.00561152 
-0.0824868 0.0965084 -0.00559576 
-0.0815808 0.0950721 -0.00753639 
-0.0822784 0.0951136 -0.0065238 
-0.0814376 0.0978185 -0.00662583 
-0.0830177 0.0951656 -0.00554205 
-0.0843615 0.0993477 -0.00259153 
-0.0824261 0.101938 -0.00456304 
-0.0831709 0.101988 -0.00359129 
-0.0839359 0.102045 -0.00261805 
-0.0842531 0.102059 -0.0016008 
-0.083332 0.0992842 -0.00460735 
-0.082938 0.100617 -0.00458659 
-0.0837054 0.10067 -0.00361944 
-0.084606 0.0993653 -0.00159598 
-0.0840147 0.0993167 -0.00358504 
-0.0844232 0.100698 -0.00156743 
-0.0842625 0.100702 -0.00260902 
-0.0849795 0.0952966 -0.00257745 
-0.0853556 0.095327 -0.00158429 
-0.0849311 0.0980032 -0.00158096 
-0.0851868 0.0966727 -0.00156833 
-0.0833393 0.0979244 -0.00460929 
-0.0847301 0.0966436 -0.00257686 
-0.0834239 0.0965619 -0.00458039 
-0.0840733 0.0966087 -0.0036103 
-0.0844928 0.0979861 -0.00258986 
-0.0839499 0.0979633 -0.0036111 
-0.0843726 0.0952582 -0.00357113 
-0.0837476 0.0952109 -0.00455405 
